,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
0,nikolskoye,1337619,40,RU,1592239716,50,59.7,30.79,78.01,8.95
1,busselton,1337619,100,AU,1592239717,77,-33.65,115.33,57.00,5.55
2,ilulissat,1337619,75,GL,1592239717,86,69.22,-51.1,37.40,4.70
3,riyadh,1337619,22,SA,1592239623,16,24.69,46.72,102.20,2.24
4,villa sandino,1337619,50,NI,1592239717,74,12.05,-84.99,83.32,9.33
5,kodiak,1337619,1,US,1592239594,81,57.79,-152.41,50.00,4.94
6,lagoa nova,1337619,3,BR,1592239718,49,-6.1,-36.48,84.11,10.78
7,kattivakkam,1337619,40,IN,1592239695,70,13.22,80.32,89.60,12.75
8,farmington,1337619,1,US,1592239718,15,36.73,-108.22,75.20,8.05
9,soc trang,1337619,75,VN,1592239719,100,9.6,105.98,78.80,1.68
10,east london,1337619,62,ZA,1592239574,74,-33.02,27.91,62.13,8.84
11,nago,1337619,1,JP,1592239719,83,26.59,127.98,82.40,10.29
12,teguise,1337619,50,ES,1592239719,69,29.06,-13.56,77.00,8.05
13,mataura,1337619,2,NZ,1592239719,90,-46.19,168.86,43.18,3.42
14,kavieng,1337619,100,PG,1592239720,78,-2.57,150.8,82.08,10.42
15,castro,1337619,90,BR,1592239720,80,-24.79,-50.01,62.10,8.99
16,tres lagoas,1337619,0,BR,1592239463,40,-20.75,-51.68,83.73,10.69
17,qaanaaq,1337619,72,GL,1592239720,84,77.48,-69.36,35.62,5.91
18,vardo,1337619,40,NO,1592239721,57,70.37,31.11,48.20,29.97
19,bredasdorp,1337619,17,ZA,1592239721,87,-34.53,20.04,55.40,5.93
20,hobart,1337619,90,AU,1592239581,50,-42.88,147.33,55.99,8.05
21,havre-saint-pierre,1337619,1,CA,1592239721,41,50.23,-63.6,59.00,18.34
22,andros town,1337619,75,BS,1592239509,66,24.7,-77.77,84.20,6.93
23,nanortalik,1337619,79,GL,1592239722,74,60.14,-45.24,40.57,6.55
24,carballo,1337619,98,ES,1592239722,61,43.21,-8.69,66.00,7.00
25,evensk,1337619,0,RU,1592239723,64,61.95,159.23,50.45,1.07
26,sibolga,1337619,100,ID,1592239691,77,1.74,98.78,79.99,2.73
27,yellowknife,1337619,75,CA,1592239585,62,62.46,-114.35,57.20,25.28
28,new norfolk,1337619,99,AU,1592239723,80,-42.78,147.06,55.99,1.99
29,san carlos de bariloche,1337619,100,AR,1592239724,52,-41.15,-71.31,41.00,10.29
30,angola,1337619,0,AO,1592239724,48,-12.5,18.5,62.11,3.40
31,port lincoln,1337619,100,AU,1592239724,82,-34.73,135.87,59.11,13.71
32,tuatapere,1337619,35,NZ,1592239724,88,-46.13,167.68,49.69,4.29
